City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,0.82,97,100,1.21,overcast clouds
1,Chokurdakh,RU,70.6333,147.9167,-31.97,99,88,0.43,overcast clouds
2,Severo-Kurilsk,RU,50.6789,156.125,28.85,65,77,29.21,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,76.84,73,14,16.75,few clouds
4,Hilo,US,19.7297,-155.09,74.68,80,18,4.76,few clouds
5,Hermanus,ZA,-34.4187,19.2345,64.9,80,42,18.68,scattered clouds
6,San Patricio,US,28.017,-97.5169,55.26,83,100,7.38,overcast clouds
7,Road Town,VG,18.4167,-64.6167,82.44,78,40,8.05,scattered clouds
8,Ejea De Los Caballeros,ES,42.1263,-1.1372,39.42,96,100,19.1,light rain
9,Bethel,US,41.3712,-73.414,34.38,47,1,4.61,clear sky
10,San Cristobal,VE,7.7669,-72.225,67.37,92,34,1.07,scattered clouds
11,Kailua,US,21.4022,-157.7394,82.38,69,75,10.36,broken clouds
12,Ushuaia,AR,-54.8,-68.3,46.65,59,100,6.33,overcast clouds
13,Barrow,US,71.2906,-156.7887,-14.78,84,20,0.0,few clouds
14,Boyolangu,ID,-8.1181,111.8935,74.03,92,100,2.04,light rain
15,Atuona,PF,-9.8,-139.0333,78.53,72,29,19.39,scattered clouds
16,Esperance,AU,-33.8667,121.9,72.05,47,0,12.15,clear sky
17,Derzhavinsk,KZ,51.1,66.3167,3.47,86,10,4.54,clear sky
18,Saint-Joseph,RE,-21.3667,55.6167,75.58,87,55,2.42,light rain
19,Victor Harbor,AU,-35.5667,138.6167,69.89,55,0,7.99,clear sky
20,Lebu,CL,-37.6167,-73.65,52.99,78,1,17.52,clear sky
21,Denpasar,ID,-8.65,115.2167,80.26,94,75,6.91,broken clouds
22,Hobyo,SO,5.3505,48.5268,80.19,81,81,9.55,broken clouds
23,Avarua,CK,-21.2078,-159.775,75.25,88,75,9.22,moderate rain
24,College,US,64.8569,-147.8028,-11.25,70,75,0.0,broken clouds
25,Tuatapere,NZ,-46.1333,167.6833,61.23,45,26,4.54,scattered clouds
26,Katsuura,JP,35.1333,140.3,48.31,52,0,14.9,clear sky
27,Sudak,UA,44.85,34.9667,54.57,87,100,6.55,overcast clouds
28,Ozernovskiy,RU,51.5,156.5167,21.2,73,95,17.98,overcast clouds
29,Granville,AU,-33.8333,151.0167,64.51,68,75,20.71,broken clouds
30,Bredasdorp,ZA,-34.5322,20.0403,64.98,70,56,13.04,broken clouds
31,Punta Arenas,CL,-53.15,-70.9167,53.71,54,75,6.91,light intensity shower rain
32,Umm Lajj,SA,25.0213,37.2685,79.02,54,0,8.99,clear sky
33,Gadwal,IN,16.2333,77.8,67.24,81,89,7.14,overcast clouds
34,Thompson,CA,55.7435,-97.8558,17.49,82,91,11.43,overcast clouds
35,Mataura,NZ,-46.1927,168.8643,66.72,33,40,1.14,scattered clouds
36,Port Alfred,ZA,-33.5906,26.891,64.9,74,36,9.71,scattered clouds
37,Tessalit,ML,20.1986,1.0114,76.01,21,73,4.72,broken clouds
38,Nikolskoye,RU,59.7035,30.7861,28.29,92,100,12.44,light snow
39,Vaini,TO,-21.2,-175.2,84.36,84,75,13.8,light rain
40,Aarburg,CH,47.3207,7.8999,34.27,94,86,1.32,overcast clouds
41,Bukama,CD,-9.2,25.85,68.77,89,67,2.44,broken clouds
42,Ilulissat,GL,69.2167,-51.1,14.83,84,100,11.61,overcast clouds
43,Piacabucu,BR,-10.4056,-36.4344,79.72,77,30,14.23,scattered clouds
44,Butaritari,KI,3.0707,172.7902,82.18,73,49,19.08,scattered clouds
45,Ewa Beach,US,21.3156,-158.0072,82.35,59,75,4.61,broken clouds
46,Soller,ES,39.7662,2.7152,49.62,72,60,17.38,broken clouds
47,Noumea,NC,-22.2763,166.4572,87.78,78,84,15.46,broken clouds
48,Cayenne,GF,4.9333,-52.3333,80.64,83,75,4.61,broken clouds
49,Khatanga,RU,71.9667,102.5,-8.25,93,100,13.13,overcast clouds
50,Aykhal,RU,66.0,111.5,-6.61,93,100,13.65,overcast clouds
51,Busselton,AU,-33.65,115.3333,76.35,50,10,2.24,clear sky
52,Saint-Medard-En-Jalles,FR,44.8969,-0.7214,37.62,93,0,5.75,clear sky
53,Mahebourg,MU,-20.4081,57.7,76.23,73,6,6.91,clear sky
54,Torbay,CA,47.6666,-52.7314,50.77,93,90,16.11,light rain
55,New Norfolk,AU,-42.7826,147.0587,65.7,44,4,2.75,clear sky
56,Bambanglipuro,ID,-7.95,110.2833,76.46,88,100,4.83,overcast clouds
57,Lingao,CN,19.9103,109.6859,71.92,64,99,15.5,overcast clouds
58,East London,ZA,-33.0153,27.9116,64.31,90,24,2.66,few clouds
59,Albany,US,42.6001,-73.9662,27.25,63,7,10.22,clear sky
