City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
3,Rikitea,PF,76.84,-23.1203,-134.9692,few clouds,People ThankYou
7,Road Town,VG,82.44,18.4167,-64.6167,scattered clouds,"ZINGARA 76ft Catamaran, full crew-all included"
11,Kailua,US,82.38,21.4022,-157.7394,broken clouds,Sheffield House Bed & Breakfast
15,Atuona,PF,78.53,-9.8,-139.0333,scattered clouds,Villa Enata
18,Saint-Joseph,RE,75.58,-21.3667,55.6167,light rain,"""Plantation Bed and Breakfast"
21,Denpasar,ID,80.26,-8.65,115.2167,broken clouds,ASTON Denpasar Hotel & Convention Center
22,Hobyo,SO,80.19,5.3505,48.5268,broken clouds,Halane Hotel and Restaurent
23,Avarua,CK,75.25,-21.2078,-159.775,moderate rain,Paradise Inn
32,Umm Lajj,SA,79.02,25.0213,37.2685,clear sky,Moon light Furnished Units
37,Tessalit,ML,76.01,20.1986,1.0114,broken clouds,
39,Vaini,TO,84.36,-21.2,-175.2,light rain,Keleti Beach Resort
43,Piacabucu,BR,79.72,-10.4056,-36.4344,scattered clouds,Piaçabuçu News
44,Butaritari,KI,82.18,3.0707,172.7902,scattered clouds,Isles Sunset Lodge
45,Ewa Beach,US,82.35,21.3156,-158.0072,broken clouds,Uncle Junior Robert
47,Noumea,NC,87.78,-22.2763,166.4572,broken clouds,Hôtel Le Lagon
48,Cayenne,GF,80.64,4.9333,-52.3333,broken clouds,Hôtel Le Dronmi
51,Busselton,AU,76.35,-33.65,115.3333,clear sky,Observatory Guest House
53,Mahebourg,MU,76.23,-20.4081,57.7,clear sky,Shandrani Beachcomber Resort & Spa
56,Bambanglipuro,ID,76.46,-7.95,110.2833,overcast clouds,Puri Brata
61,Kavieng,PG,82.94,-2.5744,150.7967,overcast clouds,Nusa Island Retreat
62,Kapaa,US,82.38,22.0752,-159.319,clear sky,Sheraton Kauai Coconut Beach Resort
